Year,Rate,Region
2006,55.6,Dire Dawa
2007,6.5,Dire Dawa
2008,65.9,Dire Dawa
2009,81.3,Dire Dawa
2010,81.9,Dire Dawa
2011,92.1,Dire Dawa
2012,155.1,Dire Dawa
2013,113.4,Dire Dawa
2014,125.9,Dire Dawa
2015,100,Dire Dawa
2016,100,Dire Dawa
2017,192.3,Dire Dawa
2018,143,Dire Dawa
2019,133,Dire Dawa
2020,100,Dire Dawa
2021,115,Dire Dawa
2022,158,Dire Dawa
2003,43.5,National
2004,45,National
2005,34,National
2006,30,National
2007,32.1,National
2008,33.9,National
2009,34,National
2010,35.8,National
2011,36.8,National
2012,72,National
2013,59.9,National
2014,53.7,National
2015,67.3,National
2016,61,National
2017,64.6,National
2018,65,National
2019,69,National
2020,71,National
2021,76,National
2022,87,National
